,pa,ID,set,lon,lat
1,1,1,0,-72.4328,43.8553
2,1,2,0,-84.8983,37.5397
3,1,3,0,-72.2813,44.3623
4,1,4,0,-78.8702,42.444
5,1,5,0,-79.4602,39.9112
6,1,6,0,-72.5248,43.6335
7,1,7,0,-95.3537,45.988
8,1,8,0,-74.6919,40.3453
9,1,9,0,-79.5577,40.7045
10,1,10,0,-72.4063,44.3395
11,1,11,0,-81.2959,41.3547
12,1,12,0,-72.9002,43.9361
13,1,13,0,-71.9624,42.859
14,1,14,0,-89.6258,39.6908
15,1,15,0,-92.0864,46.8301
16,1,16,0,-80.2084,41.4274
17,1,17,0,-81.3689,41.0674
18,1,18,0,-81.8274,36.1215
19,1,19,0,-85.8122,34.9772
20,1,20,0,-74.6854,42.6096
21,1,21,0,-73.0538,44.1943
22,1,22,0,-74.4413,40.5181
23,1,23,0,-74.9315,40.3722
24,1,24,0,-86.3801,39.1498
25,1,25,0,-88.0296,41.5344
26,1,26,0,-74.5767,40.874
27,1,27,0,-89.4635,43.1164
28,1,28,0,-73.9004,41.6726
29,1,29,0,-81.63,41.3879
30,1,30,0,-85.5053,43.7969
31,1,31,0,-84.3863,45.9915
32,1,32,0,-72.5021,44.3511
33,1,33,0,-73.778,42.2666
34,1,34,1,-74.4254,40.4735
35,1,35,0,-72.326,44.4645
36,1,36,0,-87.2148,46.3623
37,1,37,0,-72.2485,43.6743
38,1,38,0,-72.9357,44.2127
39,1,39,0,-72.6921,44.3203
40,1,40,0,-79.234,42.3669
41,1,41,0,-74.5559,40.589
42,1,42,0,-72.8826,43.1292
43,1,43,0,-72.7519,44.4653
44,1,44,0,-73.1057,44.4366
45,1,45,1,-85.7631,38.2558
46,1,46,0,-75.4792,40.5443
47,1,47,0,-95.6528,46.9579
48,1,48,0,-89.7485,43.4133
49,1,49,0,-73.1407,44.1592
50,1,50,0,-81.5566,36.3942
51,1,51,0,-77.8132,42.8584
52,1,52,0,-77.2558,38.9993
53,1,53,0,-90.8202,46.8083
54,1,54,0,-72.25,43.807
55,1,55,0,-95.5244,39.6733
56,1,56,0,-93.3117,46.6081
57,1,57,0,-85.1852,41.0788
58,1,58,0,-72.4932,43.6397
59,1,59,0,-75.4206,42.1808
60,1,60,0,-80.0852,40.5199
61,1,61,1,-90.3022,38.6058
62,1,62,0,-78.019,38.4703
63,1,63,0,-72.7154,43.537
64,1,64,0,-73.5998,41.176
65,1,65,0,-74.124,41.744
66,1,66,0,-93.5282,45.034
67,1,67,0,-81.3266,41.5755
68,1,68,0,-73.2382,44.5531
69,1,69,0,-92.1776,35.9728
70,1,70,0,-72.2913,44.6011
71,1,71,0,-73.2327,43.3411
72,1,72,0,-76.7376,42.9691
73,1,73,1,-81.8543,41.4402
74,1,74,0,-80.0433,38.0448
75,1,75,0,-80.2714,37.9071
76,1,76,0,-81.4563,41.1439
77,1,77,0,-69.6571,44.5632
78,1,78,0,-89.2026,37.6244
79,1,79,0,-72.1365,43.5942
80,1,80,0,-68.5941,47.2491
81,1,81,0,-87.6363,46.4926
82,1,82,0,-81.9929,39.3317
83,1,83,0,-71.3322,42.4391
84,1,84,0,-73.8194,40.8482
85,1,85,1,-83.7329,42.2735
86,1,86,0,-94.4142,45.8032
87,1,87,0,-83.2607,36.2865
